Complex name:,Uniprot Accession Number:,% Identity:,E-Value:,Homolog Fasta:
p34222_ub_model_A,Q5A9C1,68.15,1e-58,p34222_ub_model_A_H70.fasta
p34222_ub_model_A,C4XWR5,64.54,4e-58,p34222_ub_model_A_H65.fasta
p34222_ub_model_A,A0A9P8TEM2,59.4,6e-48,p34222_ub_model_A_H60.fasta
p34222_ub_model_A,A0A1E3Q4I4,52.14,8.000000000000001e-39,p34222_ub_model_A_H55.fasta
p34222_ub_model_A,Q9Y3E5,47.14,6e-34,p34222_ub_model_A_H50.fasta
p34222_ub_model_A,A0A8C8U9T6,43.66,4e-31,p34222_ub_model_A_H45.fasta
p34222_ub_model_A,A0A1X7UPH5,39.1,1.9999999999999998e-25,p34222_ub_model_A_H40.fasta
p34222_ub_model_A,A0A0H5QN96,34.06,7e-21,p34222_ub_model_A_H35.fasta
p14736_ub_model_A,H2AQ95,73.21,4e-48,p14736_ub_model_A_H75.fasta
p14736_ub_model_A,A0A376B545,60.75,8.999999999999999e-36,p14736_ub_model_A_H65.fasta
p14736_ub_model_A,A0AAN7W4V1,55.46,5.0000000000000005e-37,p14736_ub_model_A_H60.fasta
p14736_ub_model_A,A0A0C7MTQ3,50.44,2e-31,p14736_ub_model_A_H55.fasta
p14736_ub_model_A,A0A9P8Q624,49.56,4e-27,p14736_ub_model_A_H50.fasta
p14736_ub_model_A,A0A9P8F3P3,42.45,5e-21,p14736_ub_model_A_H45.fasta
p14736_ub_model_A,A0A099NUE0,36.7,1e-18,p14736_ub_model_A_H40.fasta
p14736_ub_model_A,A0A6G1LHG9,34.91,3e-15,p14736_ub_model_A_H35.fasta
p14736_ub_model_A,UPI00350FACB1,27.27,5e-07,p14736_ub_model_A_H30.fasta
p38346_ub_model_A,G0VA96,70.37,1e-157,p38346_ub_model_A_H75.fasta
p38346_ub_model_A,H2ASR4,61.84,2.9999999999999997e-149,p38346_ub_model_A_H65.fasta
p38346_ub_model_A,A0A6C1DU68,56.29,2.0000000000000003e-124,p38346_ub_model_A_H60.fasta
p38346_ub_model_A,C5E359,52.92,5e-114,p38346_ub_model_A_H55.fasta
p38346_ub_model_A,G0V7M8,47.2,8e-94,p38346_ub_model_A_H50.fasta
p38346_ub_model_A,G8JVJ4,43.04,7e-88,p38346_ub_model_A_H45.fasta
p38346_ub_model_A,W0TCF5,37.55,7e-39,p38346_ub_model_A_H40.fasta
p38346_ub_model_A,A0A1E5RZT9,34.06,2e-48,p38346_ub_model_A_H35.fasta
p38346_ub_model_A,A0A1E3PCC8,29.97,7.000000000000001e-29,p38346_ub_model_A_H30.fasta
p0cx76_ub_model_A,A6ZMH7,80.1,4e-109,p0cx76_ub_model_A_H85.fasta
p0cx76_ub_model_A,A0AA35JE33,66.15,6e-86,p0cx76_ub_model_A_H70.fasta
p0cx76_ub_model_A,A0AA35NLP0,64.32,2e-76,p0cx76_ub_model_A_H65.fasta
p0cx76_ub_model_A,A0AA35ND33,50.53,4e-59,p0cx76_ub_model_A_H55.fasta
p0cx76_ub_model_A,A7TJX5,30.68,4e-16,p0cx76_ub_model_A_H35.fasta
p0cx76_ub_model_A,A0A7H9HN04,28.65,4e-15,p0cx76_ub_model_A_H30.fasta
p0cx76_ub_model_A,A7TMQ1,24.73,5e-14,p0cx76_ub_model_A_H25.fasta
p15703_ub_model_A,A0AAD5BCD1,67.49,2e-137,p15703_ub_model_A_H70.fasta
p15703_ub_model_A,Q5AMT2,64.41,1e-139,p15703_ub_model_A_H65.fasta
p15703_ub_model_A,A0A642V568,59.32,4e-121,p15703_ub_model_A_H60.fasta
p15703_ub_model_A,A0A3N4HPZ8,46.51,1.9999999999999998e-86,p15703_ub_model_A_H50.fasta
p15703_ub_model_A,A0A1B8GUQ0,44.56,2e-78,p15703_ub_model_A_H45.fasta
p15703_ub_model_A,D4B2W4,39.2,5.999999999999999e-70,p15703_ub_model_A_H40.fasta
p15703_ub_model_A,V6R5G9,34.72,2.9999999999999997e-47,p15703_ub_model_A_H35.fasta
p15703_ub_model_A,A0A367K7S2,29.79,1e-36,p15703_ub_model_A_H30.fasta
p15703_ub_model_A,A0A937ZJ41,24.72,1e-21,p15703_ub_model_A_H25.fasta
o13563_ub_model_A,J7RVV4,56.91,5e-43,o13563_ub_model_A_H60.fasta
o13563_ub_model_A,A0A9P6WEP5,53.57,7.999999999999999e-50,o13563_ub_model_A_H55.fasta
o13563_ub_model_A,A0AAN7WRB0,46.67,2.0000000000000002e-39,o13563_ub_model_A_H50.fasta
o13563_ub_model_A,A0A376B3W9,42.52,9.999999999999999e-27,o13563_ub_model_A_H45.fasta
o13563_ub_model_A,A0A1E5RGV0,38.13,9e-24,o13563_ub_model_A_H40.fasta
o13563_ub_model_A,A0A9P5G2G6,34.59,4e-16,o13563_ub_model_A_H35.fasta
o13563_ub_model_A,A0A0L0DTS8,29.23,1e-10,o13563_ub_model_A_H30.fasta
q03964_ub_model_A,A6ZMH7,97.54,2e-143,q03964_ub_model_A_H99.fasta
q03964_ub_model_A,P08405,80.3,1.9999999999999999e-115,q03964_ub_model_A_H85.fasta
q03964_ub_model_A,A0AA35JE33,65.46,9e-84,q03964_ub_model_A_H70.fasta
q03964_ub_model_A,A0AA35NLP0,58.42,2.0000000000000002e-72,q03964_ub_model_A_H60.fasta
q03964_ub_model_A,A0AA35ND33,46.97,7e-55,q03964_ub_model_A_H50.fasta
q03964_ub_model_A,A7TJX5,30.73,1e-16,q03964_ub_model_A_H35.fasta
q03964_ub_model_A,A7TMQ1,25.56,4e-14,q03964_ub_model_A_H30.fasta
q03964_ub_model_A,A0AAV5RV84,24.14,6e-11,q03964_ub_model_A_H25.fasta
q12040_ub_model_A,R9XAK7,49.09,4e-69,q12040_ub_model_A_H50.fasta
q12040_ub_model_A,A0A1V2LCS4,44.78,5e-47,q12040_ub_model_A_H45.fasta
q12040_ub_model_A,A0A060T8H9,37.27,1.0000000000000001e-34,q12040_ub_model_A_H40.fasta
q12040_ub_model_A,A0A0E9NG44,32.37,3.9999999999999997e-25,q12040_ub_model_A_H35.fasta
q12040_ub_model_A,A0A3C0XP43,29.13,1e-17,q12040_ub_model_A_H30.fasta
q12040_ub_model_A,UPI00188AAE7D,24.76,5e-14,q12040_ub_model_A_H25.fasta
p53094_ub_model_A,J4TT62,90.93,0.0,p53094_ub_model_A_H95.fasta
p53094_ub_model_A,A0A0W0CQ19,51.47,1e-175,p53094_ub_model_A_H55.fasta
p53094_ub_model_A,W0TBH6,46.23,4.9999999999999996e-139,p53094_ub_model_A_H50.fasta
p53094_ub_model_A,I2H2W6,37.3,2e-94,p53094_ub_model_A_H40.fasta
p53094_ub_model_A,A0A376B7J2,33.71,2e-74,p53094_ub_model_A_H35.fasta
p53094_ub_model_A,A0A1A0HF26,29.19,3e-43,p53094_ub_model_A_H30.fasta
p53094_ub_model_A,A0A2U9R9T2,24.95,5.0000000000000004e-29,p53094_ub_model_A_H25.fasta
p22035_ub_model_A,A0A6C1EB24,86.34,0.0,p22035_ub_model_A_H90.fasta
p22035_ub_model_A,H2AYL7,52.63,7e-139,p22035_ub_model_A_H55.fasta
p22035_ub_model_A,A0A9P6WBZ1,49.36,5e-134,p22035_ub_model_A_H50.fasta
p22035_ub_model_A,A0AAN7ZYJ8,43.09,2e-118,p22035_ub_model_A_H45.fasta
p22035_ub_model_A,UPI001E8269CE,38.65,3e-85,p22035_ub_model_A_H40.fasta
p22035_ub_model_A,A0AAX4HBT8,31.92,2e-52,p22035_ub_model_A_H35.fasta
p48510_ub_model_A,I2H371,56.35,3e-130,p48510_ub_model_A_H60.fasta
p48510_ub_model_A,C4XW86,50.13,3e-95,p48510_ub_model_A_H55.fasta
p48510_ub_model_A,A0A9W4TXP3,49.73,5e-102,p48510_ub_model_A_H50.fasta
p48510_ub_model_A,A0A8H7GM16,44.53,3e-74,p48510_ub_model_A_H45.fasta
p48510_ub_model_A,C1GCS3,37.11,8e-68,p48510_ub_model_A_H40.fasta
p48510_ub_model_A,M7P7Q9,33.85,2e-58,p48510_ub_model_A_H35.fasta
p48510_ub_model_A,A0A197KEJ9,28.69,1.9999999999999998e-30,p48510_ub_model_A_H30.fasta
p48510_ub_model_A,A0AAV8A6X4,23.91,3e-18,p48510_ub_model_A_H25.fasta
p40480_ub_model_A,G8ZS01,63.58,2e-134,p40480_ub_model_A_H65.fasta
p40480_ub_model_A,A0A0W0C8I1,57.1,7.000000000000001e-125,p40480_ub_model_A_H60.fasta
p40480_ub_model_A,A0AAN7WM09,51.76,7e-111,p40480_ub_model_A_H55.fasta
p40480_ub_model_A,A0AAV5RYR1,49.1,1.9999999999999998e-97,p40480_ub_model_A_H50.fasta
p40480_ub_model_A,A0A1E3NX81,41.09,1e-65,p40480_ub_model_A_H45.fasta
p40480_ub_model_A,A0A5E8C5R3,39.56,2.0000000000000002e-60,p40480_ub_model_A_H40.fasta
p40480_ub_model_A,A0A0H5C3R8,34.31,5e-41,p40480_ub_model_A_H35.fasta
p40480_ub_model_A,A0A4S2MPN4,29.31,2e-33,p40480_ub_model_A_H30.fasta
p40480_ub_model_A,A0A2J7RQU6,24.73,2e-14,p40480_ub_model_A_H25.fasta
p33324_ub_model_A,G0VGE7,65.35,5e-108,p33324_ub_model_A_H70.fasta
p33324_ub_model_A,P24280,64.63,4e-107,p33324_ub_model_A_H65.fasta
p33324_ub_model_A,P45816,58.67,2e-90,p33324_ub_model_A_H60.fasta
p33324_ub_model_A,A0A1E4TET1,54.26,2e-77,p33324_ub_model_A_H55.fasta
p33324_ub_model_A,A0A1J9PVR6,49.77,2e-73,p33324_ub_model_A_H50.fasta
p33324_ub_model_A,A0AAF0J4B1,44.19,2e-59,p33324_ub_model_A_H45.fasta
p33324_ub_model_A,A0A177WDK1,35.62,6e-48,p33324_ub_model_A_H40.fasta
p33324_ub_model_A,A0A0D2JZ73,34.76,6e-38,p33324_ub_model_A_H35.fasta
p33324_ub_model_A,K5VJH2,29.0,1.0000000000000001e-28,p33324_ub_model_A_H30.fasta
p0cx73_ub_model_A,A6ZMH7,79.9,3e-110,p0cx73_ub_model_A_H80.fasta
p0cx73_ub_model_A,A0AA35JE33,65.99,3e-86,p0cx73_ub_model_A_H70.fasta
p0cx73_ub_model_A,A0AA35NLP0,64.32,2e-76,p0cx73_ub_model_A_H65.fasta
p0cx73_ub_model_A,A0AA35ND33,48.99,2e-59,p0cx73_ub_model_A_H50.fasta
p0cx73_ub_model_A,A7TJX5,30.11,4e-16,p0cx73_ub_model_A_H35.fasta
p0cx73_ub_model_A,A0A7H9HN04,28.65,4e-15,p0cx73_ub_model_A_H30.fasta
p0cx73_ub_model_A,A7TMQ1,24.73,6e-14,p0cx73_ub_model_A_H25.fasta
p10823_ub_model_A,G8JW20,70.27,4e-176,p10823_ub_model_A_H75.fasta
p10823_ub_model_A,Q75D65,69.39,9.999999999999999e-175,p10823_ub_model_A_H70.fasta
p10823_ub_model_A,G0V9A4,59.42,1e-158,p10823_ub_model_A_H60.fasta
p10823_ub_model_A,A0A423WQ30,53.82,4.0000000000000004e-131,p10823_ub_model_A_H55.fasta
p10823_ub_model_A,A0A1D8PJG1,48.69,4e-120,p10823_ub_model_A_H50.fasta
p10823_ub_model_A,A0A8H6YJX8,43.83,3e-101,p10823_ub_model_A_H45.fasta
p10823_ub_model_A,A0AB34JH07,39.51,1.0000000000000001e-82,p10823_ub_model_A_H40.fasta
p10823_ub_model_A,A0A2S4WE89,34.89,6e-66,p10823_ub_model_A_H35.fasta
q06287_ub_model_A,W6MK26,85.97,1.9999999999999998e-138,q06287_ub_model_A_H90.fasta
q06287_ub_model_A,A0A1L0B1A5,82.46,1e-132,q06287_ub_model_A_H85.fasta
q06287_ub_model_A,M3AJH9,71.43,7.9999999999999995e-115,q06287_ub_model_A_H75.fasta
q06287_ub_model_A,M2LZF2,69.3,3e-113,q06287_ub_model_A_H70.fasta
q06287_ub_model_A,A0A316UT11,61.9,8e-94,q06287_ub_model_A_H65.fasta
q06287_ub_model_A,A0A060SPU6,56.64,2e-74,q06287_ub_model_A_H60.fasta
q06287_ub_model_A,A0A2H9TNB5,54.59,4e-77,q06287_ub_model_A_H55.fasta
q06287_ub_model_A,Q9W4J5,48.64,2e-68,q06287_ub_model_A_H50.fasta
q06287_ub_model_A,A0A813FC58,43.42,9e-60,q06287_ub_model_A_H45.fasta
q06287_ub_model_A,A0A8S1U4C0,39.35,1e-53,q06287_ub_model_A_H40.fasta
q06287_ub_model_A,A0A834LB76,34.53,6e-37,q06287_ub_model_A_H35.fasta
q06287_ub_model_A,A0A0S4IWL3,28.38,9e-31,q06287_ub_model_A_H30.fasta
q04706_ub_model_A,A6ZMH7,80.4,2e-111,q04706_ub_model_A_H85.fasta
q04706_ub_model_A,A0AA35JE33,65.99,3.9999999999999996e-86,q04706_ub_model_A_H70.fasta
q04706_ub_model_A,A0AA35NLP0,64.32,2e-76,q04706_ub_model_A_H65.fasta
q04706_ub_model_A,A0AA35ND33,48.99,1e-59,q04706_ub_model_A_H50.fasta
q04706_ub_model_A,A7TJX5,30.11,2e-16,q04706_ub_model_A_H35.fasta
q04706_ub_model_A,A0A7H9HN04,28.65,3e-15,q04706_ub_model_A_H30.fasta
q04706_ub_model_A,A7TMQ1,24.73,7e-14,q04706_ub_model_A_H25.fasta
p53327_ub_model_A,A5DID6,72.09,0.0,p53327_ub_model_A_H75.fasta
p53327_ub_model_A,A0A4Z0A9T7,61.43,0.0,p53327_ub_model_A_H65.fasta
p53327_ub_model_A,A0A507CCM5,58.68,0.0,p53327_ub_model_A_H60.fasta
p53327_ub_model_A,A0A6A1VV66,54.45,0.0,p53327_ub_model_A_H55.fasta
p53327_ub_model_A,A0AAD6PLX2,48.98,8.000000000000001e-165,p53327_ub_model_A_H50.fasta
p53327_ub_model_A,A0A8S9PYN0,44.81,2e-132,p53327_ub_model_A_H45.fasta
p53327_ub_model_A,A0A668A9V1,35.48,8e-79,p53327_ub_model_A_H40.fasta
p53327_ub_model_A,A0A7S1QMD7,32.85,1.0000000000000001e-75,p53327_ub_model_A_H35.fasta
p53327_ub_model_A,A0A6Q2XD83,28.79,6e-49,p53327_ub_model_A_H30.fasta
q08923_ub_model_A,G8ZWJ5,47.02,2e-58,q08923_ub_model_A_H50.fasta
q08923_ub_model_A,A0AAN7WFC9,42.38,7e-56,q08923_ub_model_A_H45.fasta
q08923_ub_model_A,Q6FX05,39.5,2e-47,q08923_ub_model_A_H40.fasta
q08923_ub_model_A,A0A376B1W1,34.06,7.000000000000001e-31,q08923_ub_model_A_H35.fasta
q04511_ub_model_A,H2B2G6,46.67,4e-09,q04511_ub_model_A_H50.fasta
q04511_ub_model_A,A0A1X7R8M8,41.56,3e-08,q04511_ub_model_A_H45.fasta
q04511_ub_model_A,A0AAN8A834,39.0,2e-09,q04511_ub_model_A_H40.fasta
p53202_ub_model_A,G8ZTF4,41.12,5e-65,p53202_ub_model_A_H45.fasta
p53202_ub_model_A,Q6FTV0,39.02,9.999999999999999e-64,p53202_ub_model_A_H40.fasta
p53202_ub_model_A,A0A9P6WEY6,34.32,6e-51,p53202_ub_model_A_H35.fasta
p53202_ub_model_A,G8JMF1,26.94,9.999999999999999e-31,p53202_ub_model_A_H30.fasta
p53202_ub_model_A,D2A5E2,24.82,2e-13,p53202_ub_model_A_H25.fasta
q06417_ub_model_A,H2ANP8,53.01,8.000000000000001e-88,q06417_ub_model_A_H55.fasta
q06417_ub_model_A,A0A7H9B3C7,48.59,3e-78,q06417_ub_model_A_H50.fasta
q06417_ub_model_A,C5DFK1,43.55,4.999999999999999e-69,q06417_ub_model_A_H45.fasta
q06417_ub_model_A,W0T608,39.76,4e-62,q06417_ub_model_A_H40.fasta
q06417_ub_model_A,A0A3M7MJ26,32.8,2.9999999999999998e-36,q06417_ub_model_A_H35.fasta
q06417_ub_model_A,A0A9P4M4M3,29.88,3.0000000000000003e-31,q06417_ub_model_A_H30.fasta
q06417_ub_model_A,A0A5K7YDW0,24.78,3e-18,q06417_ub_model_A_H25.fasta
p38996_ub_model_A,A0A7H9BAM3,75.68,7e-51,p38996_ub_model_A_H80.fasta
p38996_ub_model_A,C5E2G1,73.45,7e-53,p38996_ub_model_A_H75.fasta
p38996_ub_model_A,G8JP68,68.25,3.9999999999999996e-50,p38996_ub_model_A_H70.fasta
p38996_ub_model_A,A0A9P7BCI1,63.64,7e-44,p38996_ub_model_A_H65.fasta
p38996_ub_model_A,A0A1E5REN2,53.85,1e-31,p38996_ub_model_A_H55.fasta
p38996_ub_model_A,A0A1E3P4Z6,47.57,2e-19,p38996_ub_model_A_H50.fasta
p38996_ub_model_A,A0AAV5QTE2,39.47,2e-14,p38996_ub_model_A_H40.fasta
p38996_ub_model_A,A0A9P8QDZ0,31.82,2e-09,p38996_ub_model_A_H35.fasta
p38996_ub_model_A,A0A1V2LB36,27.97,6e-11,p38996_ub_model_A_H30.fasta
p0cx74_ub_model_A,A6ZMH7,80.1,4e-109,p0cx74_ub_model_A_H85.fasta
p0cx74_ub_model_A,A0AA35JE33,66.15,6e-86,p0cx74_ub_model_A_H70.fasta
p0cx74_ub_model_A,A0AA35NLP0,64.32,2e-76,p0cx74_ub_model_A_H65.fasta
p0cx74_ub_model_A,A0AA35ND33,50.53,4e-59,p0cx74_ub_model_A_H55.fasta
p0cx74_ub_model_A,A7TJX5,30.68,4e-16,p0cx74_ub_model_A_H35.fasta
p0cx74_ub_model_A,A0A7H9HN04,28.65,4e-15,p0cx74_ub_model_A_H30.fasta
p0cx74_ub_model_A,A7TMQ1,24.73,5e-14,p0cx74_ub_model_A_H25.fasta
q08412_ub_model_A,Q6FKP0,80.7,2.0000000000000002e-23,q08412_ub_model_A_H85.fasta
q08412_ub_model_A,A0A1Q2ZXE5,78.95,7.000000000000001e-23,q08412_ub_model_A_H80.fasta
q08412_ub_model_A,J7RV25,74.58,6e-23,q08412_ub_model_A_H75.fasta
q08412_ub_model_A,A0A120K199,69.84,1e-19,q08412_ub_model_A_H70.fasta
q08412_ub_model_A,I6NDU5,63.64,2e-12,q08412_ub_model_A_H65.fasta
q08412_ub_model_A,A7TLU9,59.02,5e-15,q08412_ub_model_A_H60.fasta
q08412_ub_model_A,A0A1E5RBR3,53.85,1e-08,q08412_ub_model_A_H55.fasta
q08747_ub_model_A,Q05024,38.1,4e-06,q08747_ub_model_A_H40.fasta
p53388_ub_model_A,A0A1D8PCR4,59.76,0.0,p53388_ub_model_A_H60.fasta
p53388_ub_model_A,A0A642VD08,50.2,0.0,p53388_ub_model_A_H55.fasta
p53388_ub_model_A,A0A8H7KC27,49.41,1.0000000000000001e-163,p53388_ub_model_A_H50.fasta
p53388_ub_model_A,A0A428NXQ4,44.58,1.9999999999999997e-142,p53388_ub_model_A_H45.fasta
p53388_ub_model_A,W9XNM5,37.94,3e-124,p53388_ub_model_A_H40.fasta
p53388_ub_model_A,A0A316U6H3,34.76,1e-102,p53388_ub_model_A_H35.fasta
q01476_ub_model_A,A0AAV5RSQ1,60.0,7e-130,q01476_ub_model_A_H65.fasta
q01476_ub_model_A,Q75CT3,54.92,5.0000000000000005e-99,q01476_ub_model_A_H55.fasta
q01476_ub_model_A,A0A0V1PRF2,49.04,5e-98,q01476_ub_model_A_H50.fasta
q01476_ub_model_A,A0A9P0VVI3,43.18,3e-80,q01476_ub_model_A_H45.fasta
q01476_ub_model_A,A0A642UHZ4,39.28,5.0000000000000004e-77,q01476_ub_model_A_H40.fasta
q01476_ub_model_A,A0AAV5QBM4,34.67,1e-48,q01476_ub_model_A_H35.fasta
q01476_ub_model_A,A0A068RDX6,29.7,2e-36,q01476_ub_model_A_H30.fasta
q01476_ub_model_A,A0AAW2YXA5,24.36,3e-23,q01476_ub_model_A_H25.fasta
p38889_ub_model_A,A0AAN7WSD2,91.73,1e-80,p38889_ub_model_A_H95.fasta
p38889_ub_model_A,J7SB97,88.81,3e-78,p38889_ub_model_A_H90.fasta
p38889_ub_model_A,Q75BF2,82.09,1e-74,p38889_ub_model_A_H85.fasta
p38889_ub_model_A,A0A376BC63,78.74,1e-67,p38889_ub_model_A_H80.fasta
p38889_ub_model_A,A0A0X8HV16,73.94,2e-68,p38889_ub_model_A_H75.fasta
p38889_ub_model_A,A0A9P8PQB3,68.99,9.999999999999999e-57,p38889_ub_model_A_H70.fasta
p38889_ub_model_A,A0A0C3B9A5,55.3,7e-36,p38889_ub_model_A_H60.fasta
p38889_ub_model_A,A0A1E5S0L5,54.26,1e-43,p38889_ub_model_A_H55.fasta
p38889_ub_model_A,A0A1U7LIP5,49.31,2.0000000000000003e-34,p38889_ub_model_A_H50.fasta
p38889_ub_model_A,A0A084G6A9,44.78,6e-30,p38889_ub_model_A_H45.fasta
p38889_ub_model_A,A0A849T209,39.5,6e-25,p38889_ub_model_A_H40.fasta
p38889_ub_model_A,A0A3M9XZ42,34.93,1e-21,p38889_ub_model_A_H35.fasta
p38889_ub_model_A,A0A7C4ARM7,28.46,4e-06,p38889_ub_model_A_H30.fasta
p00912_ub_model_A,G8BWX1,53.46,7e-74,p00912_ub_model_A_H55.fasta
p00912_ub_model_A,A0A1E3PNB9,46.19,9.999999999999999e-51,p00912_ub_model_A_H50.fasta
p00912_ub_model_A,A0A061BIG8,44.4,1e-52,p00912_ub_model_A_H45.fasta
p00912_ub_model_A,A0A642UQQ3,39.18,4.0000000000000006e-45,p00912_ub_model_A_H40.fasta
p00912_ub_model_A,G8YU65,33.46,1.9999999999999998e-32,p00912_ub_model_A_H35.fasta
p00912_ub_model_A,A0A078LYQ9,29.91,7e-22,p00912_ub_model_A_H30.fasta
p23202_ub_model_A,G0VHY8,92.73,4e-68,p23202_ub_model_A_H95.fasta
p23202_ub_model_A,A0A1E3P9Q7,80.19,2e-52,p23202_ub_model_A_H85.fasta
p23202_ub_model_A,A0AAI9WXF1,75.0,2e-47,p23202_ub_model_A_H80.fasta
p23202_ub_model_A,A0A0H5C999,72.32,9e-52,p23202_ub_model_A_H75.fasta
p23202_ub_model_A,A0A1V2L2Z1,68.87,6e-45,p23202_ub_model_A_H70.fasta
p23202_ub_model_A,W1QJV9,63.64,3e-39,p23202_ub_model_A_H65.fasta
p23202_ub_model_A,W6MFM4,59.81,3e-38,p23202_ub_model_A_H60.fasta
p23202_ub_model_A,A0A642VD52,54.29,4.999999999999999e-32,p23202_ub_model_A_H55.fasta
p23202_ub_model_A,A0A1E3PHZ9,49.52,6e-27,p23202_ub_model_A_H50.fasta
p23202_ub_model_A,A0AAW1P1P0,40.0,4e-16,p23202_ub_model_A_H45.fasta
p23202_ub_model_A,A0A1V2LP03,38.66,4e-15,p23202_ub_model_A_H40.fasta
p23202_ub_model_A,A0A261Y0T4,33.02,5e-10,p23202_ub_model_A_H35.fasta
p38893_ub_model_A,P53757,70.76,3e-179,p38893_ub_model_A_H75.fasta
p38893_ub_model_A,P04397,51.52,2e-106,p38893_ub_model_A_H55.fasta
p38893_ub_model_A,A0A1Q2ZSX5,43.45,3e-78,p38893_ub_model_A_H45.fasta
p38893_ub_model_A,A0A1G4INQ8,37.69,8e-61,p38893_ub_model_A_H40.fasta
p38893_ub_model_A,A0A0E9NID7,34.53,3e-41,p38893_ub_model_A_H35.fasta
p38893_ub_model_A,A0A6L5X886,29.64,5e-33,p38893_ub_model_A_H30.fasta
p38270_ub_model_A,A0A7H9AW05,35.64,8e-58,p38270_ub_model_A_H40.fasta
p38270_ub_model_A,A7TJJ8,34.5,2.9999999999999997e-62,p38270_ub_model_A_H35.fasta
p38270_ub_model_A,H2AU49,28.45,1.9999999999999998e-32,p38270_ub_model_A_H30.fasta
p38270_ub_model_A,Q75BE5,24.77,1e-21,p38270_ub_model_A_H25.fasta
q12242_ub_model_A,G0VJ58,72.92,2e-12,q12242_ub_model_A_H75.fasta
q12242_ub_model_A,A0A8H2VBL0,67.39,4e-11,q12242_ub_model_A_H70.fasta
q12242_ub_model_A,A0A7G3ZAZ2,61.36,2e-07,q12242_ub_model_A_H65.fasta
q12242_ub_model_A,A0A0C7MSN6,57.45,6e-09,q12242_ub_model_A_H60.fasta
q12242_ub_model_A,H2AVK7,53.33,2e-06,q12242_ub_model_A_H55.fasta
q08096_ub_model_A,A0A167F8S8,51.72,8e-31,q08096_ub_model_A_H55.fasta
q08096_ub_model_A,A0A5E8BYX3,47.79,8.999999999999998e-25,q08096_ub_model_A_H50.fasta
q08096_ub_model_A,B0ETQ6,43.4,1e-19,q08096_ub_model_A_H45.fasta
q08096_ub_model_A,F4Q8W0,39.82,3e-19,q08096_ub_model_A_H40.fasta
q08096_ub_model_A,A0A1Q3E250,32.35,1e-12,q08096_ub_model_A_H35.fasta
q08096_ub_model_A,A0A7S2V4K0,29.71,6e-07,q08096_ub_model_A_H30.fasta
p35180_ub_model_A,A0A7G3ZCS5,71.09,2e-58,p35180_ub_model_A_H75.fasta
p35180_ub_model_A,A0AAV5S200,65.14,2e-44,p35180_ub_model_A_H70.fasta
p35180_ub_model_A,A7TKU8,62.79,1e-48,p35180_ub_model_A_H65.fasta
p35180_ub_model_A,A0AAN7WF88,59.5,9.999999999999999e-43,p35180_ub_model_A_H60.fasta
p35180_ub_model_A,A0AAV5RRR5,53.21,9.999999999999999e-33,p35180_ub_model_A_H55.fasta
p35180_ub_model_A,A0A1D2VR36,45.87,6e-27,p35180_ub_model_A_H50.fasta
p35180_ub_model_A,A0A642ULX7,42.62,4.0000000000000004e-24,p35180_ub_model_A_H45.fasta
p35180_ub_model_A,UPI0034CD9434,37.0,5e-13,p35180_ub_model_A_H40.fasta
p35180_ub_model_A,A0A8J5AV32,34.58,6e-09,p35180_ub_model_A_H35.fasta
q02863_ub_model_A,A0A7H9AW48,42.58,3e-46,q02863_ub_model_A_H45.fasta
q02863_ub_model_A,G8JMV2,38.1,1e-44,q02863_ub_model_A_H40.fasta
q02863_ub_model_A,A0A109UZB1,32.54,1.9999999999999998e-30,q02863_ub_model_A_H35.fasta
q02863_ub_model_A,A0A1E5R7X9,29.73,6e-23,q02863_ub_model_A_H30.fasta
q02863_ub_model_A,A0A4P9ZKG8,24.59,8e-08,q02863_ub_model_A_H25.fasta
q03407_ub_model_A,G8C285,73.01,2.0000000000000001e-112,q03407_ub_model_A_H75.fasta
q03407_ub_model_A,Q12236,67.98,1e-114,q03407_ub_model_A_H70.fasta
q03407_ub_model_A,Q6FQB9,64.31,1.9999999999999998e-110,q03407_ub_model_A_H65.fasta
q03407_ub_model_A,A0A1E5R0H8,59.69,9.999999999999999e-98,q03407_ub_model_A_H60.fasta
q03407_ub_model_A,W1QBI1,53.88,1.0000000000000001e-88,q03407_ub_model_A_H55.fasta
q03407_ub_model_A,A0A0J9X897,47.67,1e-77,q03407_ub_model_A_H50.fasta
q03407_ub_model_A,A0A1B2J8Y5,44.2,1e-62,q03407_ub_model_A_H45.fasta
q03407_ub_model_A,A0A553P034,38.54,5e-52,q03407_ub_model_A_H40.fasta
q03407_ub_model_A,A0A817XLX5,33.83,4.999999999999999e-44,q03407_ub_model_A_H35.fasta
p52491_ub_model_A,G8ZW05,59.7,3e-50,p52491_ub_model_A_H60.fasta
p52491_ub_model_A,A0AAF0EL81,54.26,2e-40,p52491_ub_model_A_H55.fasta
p52491_ub_model_A,Q6C9W0,48.51,3e-39,p52491_ub_model_A_H50.fasta
p52491_ub_model_A,A0A0G2GD96,43.84,3.9999999999999997e-32,p52491_ub_model_A_H45.fasta
p52491_ub_model_A,Q54TI6,38.52,4e-27,p52491_ub_model_A_H40.fasta
p52491_ub_model_A,A2DXW4,34.35,9e-19,p52491_ub_model_A_H35.fasta
q99303_ub_model_A,A0AA35ND33,95.48,3e-136,q99303_ub_model_A_H99.fasta
q99303_ub_model_A,A0AA35NLP0,51.58,1e-64,q99303_ub_model_A_H55.fasta
